群青,ぐんじょう,gunjo
騒がしい日々に笑えない君に,さわがしいひびにわらえないきみに,sawagashiihibiniwaraenaikimini
思い付く限り眩しい明日を,おもいつくかぎりまぶしいあしたを,omoitsukukagirimabushiiashitao
明けない夜に落ちてゆく前に,あけないよるにおちてゆくまえに,akenaiyoruniochiteyukumaeni
僕の手を掴んでほら,ぼくのてをつかんでほら,bokunoteotsukandehora
忘れてしまいたくて閉じ込めた日々も,わすれてしまいたくてとじこめたひびも,wasureteshimaitakutetojikometahibimo
抱きしめた温もりで溶かすから,だきしめたぬくもりでとかすから,dakishimetanukumoridetokasukara
怖くないよいつか日が昇るまで,こわくないよいつかひがのぼるまで,kowakunaiyoitsukahiganoborumade
二人でいよう,ふたりでいよう,futarideiyo
君にしか見えない,きみにしかみえない,kiminishikamienai
何かを見つめる君が嫌いだ,なにかをみつめるきみがきらいだ,nanikaomitsumerukimigakiraida
見惚れているかのような恋するような,みほれているかのようなこいをするような,mihoreteirukanoyonakoiosuruyona
そんな顔が嫌いだ,そんなかおがきらいだ,sonnakaogakiraida
信じていたいけど信じれないこと,しんじていたけどしんじれないこと,shinjiteitakedoshinjirenaikoto
そんなのどうしたってきっと,そんなのどうしたってきっと,sonnanodoshitattekitto
これからだっていくつもあって,これからだっていくつもあって,korekaradatteikutsumoatte
そのたんび怒って泣いていくの,そのたんびおこってないていくの,sonotambiokottenaiteikuno
それでもきっといつかはきっと僕らはきっと,しれでもきっといつかはきっとぼくらはきっと,shiredemokittoitsukahakittobokurahakitto
分かり合えるさ信じてるよ,わかりあえるさしんじてるよ,wakariaerusashinjiteruyo
もう嫌だって疲れたんだって,もうだれだってつかれたんだって,modaredattetsukaretandatte
がむしゃらに差し伸べた僕の手を振り払う君,がむしゃらにさしのべたぼくのてをふりはらうきみ,gamusharanisashinobetabokunoteofuriharaukimi
もう嫌だって疲れたよなんて,もういやだってつかれたよなんて,moiyadattetsukaretayonante
本当は僕も言いたいんだ,ほんとうはぼくもいいたいんだ,hontohabokumoiitainda
ほらまたチックタックと,ほらまたちっくたっくと,horamatachikkutakkuto
鳴る世界で何度だってさ,なるせかいでなんどだってさ,narusekaidenandodattesa
君の為に用意した言葉どれも届かない,きみのためによういしたことばどれもとどかない,kiminotameniyoishitakotobadoremotodokanai
「終わりにしたい」だなんてさ,おわりにしたいだなんてさ,owarinishitaidanantesa
釣られて言葉にした時,つられてことばにしたとき,tsuraretekotobanishitatoki
君は初めて笑った,きみははじめてわらった,kimihahajimetewaratta
騒がしい日々に笑えなくなっていた,さわがしいひびにわらえなくなっていた,sawagashiihibiniwaraenakunatteita
僕の目に映る君は綺麗だ,ぼくのめにうつるきみはきれいだ,bokunomeniutsurukimihakireida
明けない夜に溢れた涙も,あけないよるにあふれたなみだも,akenaiyoruniafuretanamidamo
君の笑顔に溶けていく,きみのえがおにとけていく,kiminoegaonitoketeiku
変わらない日々に泣いていた僕を,かわらないひびにないていたぼくを,kawaranaihibininaiteitabokuo
君は優しく終わりへと誘う,きみはやさしくおわりへとさそう,kimihayasashikuowarihetosaso
沈むように溶けてゆくように,しずむようにとけてゆくように,shizumuyonitoketeyukuyoni
染み付いた霧が晴れる,しみついたきりがはれる,shimitsuitakirigahareru
忘れてしまいたくて閉じ込めた日々に,わすれてしまいたくてとじこめたひびに,wasureteshimaitakutetojikometahibini
差し伸べてくれた君の手を取る,さしのべてくれたきみのてをとる,sashinobetekuretakiminoteotoru
